"phi1","phi3","temp","phi2"
0.005,0.08175,298.15,NA
0.0055,0.08185,298.15,NA
0.006,0.08195,298.15,NA
0.0065,0.082,298.15,NA
0.007,0.08205,298.15,NA
0.007,0.0821,298.15,NA
0.0075,0.08215,298.15,NA
0.008,0.08215,298.15,NA
0.0085,0.08215,298.15,NA
0.0085,0.0822,298.15,NA
0.0095,0.0822,298.15,NA
0.01,0.08215,298.15,0.01
0.0105,0.08215,298.15,0.0104779400726387
0.0105,0.0821,298.15,0.0104779303284279
0.0115,0.0821,298.15,0.011500309448028
0.012,0.08205,298.15,0.0120005429164484
0.0125,0.08195,298.15,0.0125008366990237
0.013,0.0819,298.15,0.0130011887897414
0.0135,0.0818,298.15,0.0135015955507023
0.0145,0.0817,298.15,0.0145025660039864
